Fecha,Operador_logistíco,Sede,Nombre_Categoria,Nombre_Material,Cantidad_kg,Unnamed: 6,YEAR,MONTH
2016-10-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1006.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Papeles y Cartones,Periódico,790.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Papeles y Cartones,Plega,417.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Plásticos,Pasta,1053.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Plásticos,Plega,388.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Plásticos,Plástico,254.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Vidrios,Vidrio,1007.0,0.0,2016,Oct
2016-11-28,Recuperar,Medellín,Metales,Aluminio,8.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Metales,Chatarra,1428.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Otros,Palos de Escoba,0.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Papeles y Cartones,Archivo,628.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Papeles y Cartones,Cartón,534.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Papeles y Cartones,Periódico,412.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Papeles y Cartones,Plega,210.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Plásticos,Pasta,624.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Plásticos,Plega,181.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Plásticos,Plástico,49.0,0.0,2016,Nov
2016-11-28,Recuperar,Medellín,Vidrios,Vidrio,521.0,0.0,2016,Nov
2016-12-28,Recuperar,Medellín,Metales,Aluminio,8.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Metales,Chatarra,43.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Otros,Palos de Escoba,19.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Papeles y Cartones,Archivo,679.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Papeles y Cartones,Cartón,684.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Papeles y Cartones,Periódico,279.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Papeles y Cartones,Plega,288.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Plásticos,Pasta,683.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Plásticos,Plega,253.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Plásticos,Plástico,244.0,0.0,2016,Dic
2016-12-28,Recuperar,Medellín,Vidrios,Vidrio,423.0,0.0,2016,Dic
2017-01-28,Recuperar,Medellín,Metales,Aluminio,12.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Metales,Chatarra,4542.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Otros,Palos de Escoba,0.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Otros,Polipropileno,0.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1444.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Papeles y Cartones,Cartón,855.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Papeles y Cartones,Periódico,152.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Papeles y Cartones,Plega,116.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Plásticos,Pasta,461.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Plásticos,Plega,117.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Plásticos,Plástico,130.0,0.0,2017,Ene
2017-01-28,Recuperar,Medellín,Vidrios,Vidrio,1117.0,0.0,2017,Ene
2017-02-28,Recuperar,Medellín,Metales,Aluminio,6.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Metales,Chatarra,116.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Otros,Palos de Escoba,9.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Otros,Polipropileno,0.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1511.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1252.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Papeles y Cartones,Periódico,437.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Papeles y Cartones,Plega,333.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Plásticos,Pasta,1015.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Plásticos,Plega,275.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Plásticos,Plástico,238.0,0.0,2017,Feb
2017-02-28,Recuperar,Medellín,Vidrios,Vidrio,719.0,0.0,2017,Feb
2017-03-28,Recuperar,Medellín,Metales,Aluminio,11.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Metales,Chatarra,118.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Otros,Palos de Escoba,54.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Otros,Polipropileno,0.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Papeles y Cartones,Archivo,687.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Papeles y Cartones,Cartón,986.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Papeles y Cartones,Periódico,417.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Papeles y Cartones,Plega,268.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Plásticos,Pasta,678.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Plásticos,Plega,343.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Plásticos,Plástico,226.0,0.0,2017,Mar
2017-03-28,Recuperar,Medellín,Vidrios,Vidrio,442.0,0.0,2017,Mar
2017-04-28,Recuperar,Medellín,Metales,Aluminio,11.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Metales,Chatarra,251.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Otros,Palos de Escoba,0.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Otros,Polipropileno,3.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1339.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1367.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Papeles y Cartones,Periódico,569.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Papeles y Cartones,Plega,446.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Plásticos,Pasta,820.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Plásticos,Plega,281.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Plásticos,Plástico,309.0,0.0,2017,Abr
2017-04-28,Recuperar,Medellín,Vidrios,Vidrio,721.0,0.0,2017,Abr
2017-05-28,Recuperar,Medellín,Metales,Aluminio,11.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Metales,Chatarra,2304.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Otros,Palos de Escoba,94.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Papeles y Cartones,Archivo,612.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Papeles y Cartones,Cartón,597.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Papeles y Cartones,Periódico,575.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Papeles y Cartones,Plega,268.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Plásticos,Pasta,895.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Plásticos,Plega,281.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Plásticos,Plástico,259.0,0.0,2017,May
2017-05-28,Recuperar,Medellín,Vidrios,Vidrio,575.0,0.0,2017,May
2017-06-28,Recuperar,Medellín,Metales,Aluminio,23.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Metales,Chatarra,2536.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Otros,Palos de Escoba,0.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1756.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1011.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Papeles y Cartones,Periódico,431.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Papeles y Cartones,Plega,328.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Plásticos,Pasta,997.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Plásticos,Plega,338.0,0.0,2017,Jun
