Fecha,Nombre_Material,Cantidad_kg,Nombre_Categoria,Operador_logistíco,Sede
2017-02-28,Polipropileno,0,Otros,Recuperar,
2017-02-28,Plega,227,Papeles y Cartones,Recuperar,
2017-02-28,Palos de Escoba,9,Otros,Recuperar,
2017-02-28,Chatarra,116,Metales,Recuperar,
2017-02-28,Cartón,1252,Papeles y Cartones,Recuperar,
2017-02-28,Plástico,238,Plásticos,Recuperar,
2017-02-28,Pasta,1015,Plásticos,Recuperar,
2017-02-28,Vidrio,719,Vidrios,Recuperar,
2017-02-28,Aluminio,6,Metales,Recuperar,
2017-02-28,Plega,106,Papeles y Cartones,Recuperar,
2017-02-28,Plega,275,Plásticos,Recuperar,
2017-03-28,Plega,209,Papeles y Cartones,Recuperar,
2017-03-28,Chatarra,118,Metales,Recuperar,
2017-03-28,Plega,59,Papeles y Cartones,Recuperar,
2017-03-28,Periódico,417,Papeles y Cartones,Recuperar,
2017-03-28,Aluminio,11,Metales,Recuperar,
2017-03-28,Plega,343,Plásticos,Recuperar,
2017-03-28,Archivo,687,Papeles y Cartones,Recuperar,
2017-03-28,Pasta,678,Plásticos,Recuperar,
2017-03-28,Vidrio,442,Vidrios,Recuperar,
2017-03-28,Polipropileno,0,Otros,Recuperar,
2017-03-28,Plástico,226,Plásticos,Recuperar,
2017-03-28,Palos de Escoba,54,Otros,Recuperar,
2017-03-28,Cartón,986,Papeles y Cartones,Recuperar,
2017-04-28,Cartón,1367,Papeles y Cartones,Recuperar,
2017-04-28,Periódico,569,Papeles y Cartones,Recuperar,
2017-04-28,Plega,281,Plásticos,Recuperar,
2017-04-28,Archivo,1339,Papeles y Cartones,Recuperar,
2017-04-28,Pasta,820,Plásticos,Recuperar,
2017-04-28,Vidrio,721,Vidrios,Recuperar,
2017-04-28,Plega,102,Papeles y Cartones,Recuperar,
2017-04-28,Plástico,309,Plásticos,Recuperar,
2017-04-28,Polipropileno,3,Otros,Recuperar,
2017-04-28,Chatarra,251,Metales,Recuperar,
2017-04-28,Aluminio,11,Metales,Recuperar,
2017-04-28,Palos de Escoba,0,Otros,Recuperar,
2017-04-28,Plega,344,Papeles y Cartones,Recuperar,
2017-05-28,Plega,90,Papeles y Cartones,Recuperar,
2017-05-28,Periódico,575,Papeles y Cartones,Recuperar,
2017-05-28,Archivo,612,Papeles y Cartones,Recuperar,
2017-05-28,Vidrio,575,Vidrios,Recuperar,
2017-05-28,Plega,178,Papeles y Cartones,Recuperar,
2017-05-28,Plástico,259,Plásticos,Recuperar,
2017-05-28,Chatarra,2304,Metales,Recuperar,
2017-05-28,Cartón,597,Papeles y Cartones,Recuperar,
2017-05-28,Aluminio,11,Metales,Recuperar,
2017-05-28,Plega,281,Plásticos,Recuperar,
2017-05-28,Pasta,895,Plásticos,Recuperar,
2017-05-28,Palos de Escoba,94,Otros,Recuperar,
2017-06-28,Palos de Escoba,0,Otros,Recuperar,
2017-06-28,Pasta,997,Plásticos,Recuperar,
2017-06-28,Periódico,431,Papeles y Cartones,Recuperar,
2017-06-28,Archivo,1756,Papeles y Cartones,Recuperar,
2017-06-28,Vidrio,1143,Vidrios,Recuperar,
2017-06-28,Aluminio,23,Metales,Recuperar,
2017-06-28,Plega,338,Plásticos,Recuperar,
2017-06-28,Cartón,1011,Papeles y Cartones,Recuperar,
2017-06-28,Plega,78,Papeles y Cartones,Recuperar,
2017-06-28,Plega,250,Papeles y Cartones,Recuperar,
2017-06-28,Chatarra,2536,Metales,Recuperar,
2017-06-28,Plástico,329,Plásticos,Recuperar,
2017-07-28,Aluminio,5,Metales,Recuperar,
2017-07-28,Plega,100,Plásticos,Recuperar,
2017-07-28,Pasta,332,Plásticos,Recuperar,
2017-07-28,Vidrio,288,Vidrios,Recuperar,
2017-07-28,Plástico,159,Plásticos,Recuperar,
2017-07-28,Plega,165,Papeles y Cartones,Recuperar,
2017-07-28,Periódico,241,Papeles y Cartones,Recuperar,
2017-07-28,Archivo,683,Papeles y Cartones,Recuperar,
2017-07-28,Plega,35,Papeles y Cartones,Recuperar,
2017-07-28,Palos de Escoba,56,Otros,Recuperar,
2017-07-28,Cartón,465,Papeles y Cartones,Recuperar,
2017-07-28,Chatarra,2222,Metales,Recuperar,
2017-08-28,Plega,95,Papeles y Cartones,Recuperar,
2017-08-28,Cartón,693,Papeles y Cartones,Recuperar,
2017-08-28,Aluminio,7,Metales,Recuperar,
2017-08-28,Plega,286,Plásticos,Recuperar,
2017-08-28,Periódico,258,Papeles y Cartones,Recuperar,
2017-08-28,Vidrio,552,Vidrios,Recuperar,
2017-08-28,Plástico,260,Plásticos,Recuperar,
2017-08-28,Chatarra,1545,Metales,Recuperar,
2017-08-28,Palos de Escoba,50,Otros,Recuperar,
2017-08-28,Plega,283,Papeles y Cartones,Recuperar,
2017-08-28,Pasta,836,Plásticos,Recuperar,
2017-08-28,Archivo,1563,Papeles y Cartones,Recuperar,
2017-09-28,Plega,106,Papeles y Cartones,Recuperar,
2017-09-28,Chatarra,241,Metales,Recuperar,
2017-09-28,Vidrio,1727,Vidrios,Recuperar,
2017-09-28,Plástico,423,Plásticos,Recuperar,
2017-09-28,Pasta,1079,Plásticos,Recuperar,
2017-09-28,Cartón,1093,Papeles y Cartones,Recuperar,
2017-09-28,Aluminio,110,Metales,Recuperar,
2017-09-28,Periódico,944,Papeles y Cartones,Recuperar,
2017-09-28,Plega,374,Papeles y Cartones,Recuperar,
2017-09-28,Plega,454,Plásticos,Recuperar,
2017-09-28,Archivo,1211,Papeles y Cartones,Recuperar,
2017-09-28,Palos de Escoba,15,Otros,Recuperar,
2017-10-28,Plega,293,Papeles y Cartones,Recuperar,
2017-10-28,Vidrio,940,Vidrios,Recuperar,
2017-10-28,Cartón,637,Papeles y Cartones,Recuperar,
2017-10-28,Plástico,273,Plásticos,Recuperar,
2017-10-28,Archivo,1037,Papeles y Cartones,Recuperar,
2017-10-28,Aluminio,20,Metales,Recuperar,
2017-10-28,Pasta,780,Plásticos,Recuperar,
2017-10-28,Plega,111,Papeles y Cartones,Recuperar,
2017-10-28,Periódico,1069,Papeles y Cartones,Recuperar,
2017-10-28,Palos de Escoba,40,Otros,Recuperar,
2017-10-28,Chatarra,76,Metales,Recuperar,
2017-10-28,Plega,329,Plásticos,Recuperar,
2017-11-28,Plega,143,Papeles y Cartones,Recuperar,
2017-11-28,Chatarra,3737,Metales,Recuperar,
2017-11-28,Plega,500,Plásticos,Recuperar,
2017-11-28,Vidrio,816,Vidrios,Recuperar,
2017-11-28,Periódico,441,Papeles y Cartones,Recuperar,
2017-11-28,Archivo,1441,Papeles y Cartones,Recuperar,
2017-11-28,Palos de Escoba,85,Otros,Recuperar,
2017-11-28,Plega,396,Papeles y Cartones,Recuperar,
2017-11-28,Plástico,324,Plásticos,Recuperar,
2017-11-28,Pasta,908,Plásticos,Recuperar,
2017-11-28,Aluminio,29,Metales,Recuperar,
2017-11-28,Cartón,1051,Papeles y Cartones,Recuperar,
2017-12-28,Aluminio,2,Metales,Recuperar,
2017-12-28,Palos de Escoba,0,Otros,Recuperar,
2017-12-28,Chatarra,28,Metales,Recuperar,
2017-12-28,Archivo,308,Papeles y Cartones,Recuperar,
2017-12-28,Plega,47,Papeles y Cartones,Recuperar,
2017-12-28,Plega,49,Plásticos,Recuperar,
2017-12-28,Vidrio,111,Vidrios,Recuperar,
2017-12-28,Periódico,52,Papeles y Cartones,Recuperar,
2017-12-28,Pasta,196,Plásticos,Recuperar,
2017-12-28,Plástico,55,Plásticos,Recuperar,
2017-12-28,Plega,25,Papeles y Cartones,Recuperar,
2017-12-28,Cartón,163,Papeles y Cartones,Recuperar,
2018-01-28,Vidrio,479,Vidrios,Recuperar,
2018-01-28,Cartón,842,Papeles y Cartones,Recuperar,
2018-01-28,Chatarra,286,Metales,Recuperar,
2018-01-28,Pasta,614,Plásticos,Recuperar,
2018-01-28,Archivo,2137,Papeles y Cartones,Recuperar,
2018-01-28,Periódico,393,Papeles y Cartones,Recuperar,
2018-01-28,Palos de Escoba,91,Otros,Recuperar,
2018-01-28,Aluminio,16,Metales,Recuperar,
2018-01-28,Plástico,179,Plásticos,Recuperar,
2018-01-28,Plega,216,Papeles y Cartones,Recuperar,
2018-01-28,Plega,115,Plásticos,Recuperar,
2018-01-28,Plega,29,Papeles y Cartones,Recuperar,
2018-02-28,Pasta,692,Plásticos,Recuperar,
2018-02-28,Plega,74,Papeles y Cartones,Recuperar,
2018-02-28,Aluminio,9,Metales,Recuperar,
2018-02-28,Archivo,2037,Papeles y Cartones,Recuperar,
2018-02-28,Cartón,2015,Papeles y Cartones,Recuperar,
2018-02-28,Plega,150,Papeles y Cartones,Recuperar,
2018-02-28,Periódico,411,Papeles y Cartones,Recuperar,
2018-02-28,Vidrio,712,Vidrios,Recuperar,
2018-02-28,Plástico,354,Plásticos,Recuperar,
2018-02-28,Palos de Escoba,0,Otros,Recuperar,
2018-02-28,Chatarra,102,Metales,Recuperar,
2018-02-28,Plega,252,Plásticos,Recuperar,
2018-03-28,Vidrio,704,Vidrios,Recuperar,
2018-03-28,Aluminio,17,Metales,Recuperar,
2018-03-28,Plástico,596,Plásticos,Recuperar,
2018-03-28,Archivo,1779,Papeles y Cartones,Recuperar,
2018-03-28,Palos de Escoba,76,Otros,Recuperar,
2018-03-28,Plega,193,Papeles y Cartones,Recuperar,
2018-03-28,Periódico,355,Papeles y Cartones,Recuperar,
2018-03-28,Plega,128,Papeles y Cartones,Recuperar,
2018-03-28,Plega,319,Plásticos,Recuperar,
2018-03-28,Chatarra,2379,Metales,Recuperar,
2018-03-28,Cartón,1595,Papeles y Cartones,Recuperar,
2018-03-28,Pasta,858,Plásticos,Recuperar,
2018-04-28,Plega,199,Papeles y Cartones,Recuperar,
2018-04-28,Pasta,489,Plásticos,Recuperar,
2018-04-28,Aluminio,9,Metales,Recuperar,
2018-04-28,Palos de Escoba,0,Otros,Recuperar,
2018-04-28,Archivo,815,Papeles y Cartones,Recuperar,
2018-04-28,Cartón,861,Papeles y Cartones,Recuperar,
2018-04-28,Vidrio,537,Vidrios,Recuperar,
2018-04-28,Plástico,207,Plásticos,Recuperar,
2018-04-28,Periódico,323,Papeles y Cartones,Recuperar,
2018-04-28,Plega,238,Plásticos,Recuperar,
2018-04-28,Chatarra,5066,Metales,Recuperar,
2018-04-28,Plega,75,Papeles y Cartones,Recuperar,
2018-05-28,Pasta,617,Plásticos,Recuperar,
2018-05-28,Plástico,195,Plásticos,Recuperar,
2018-05-28,Cartón,559,Papeles y Cartones,Recuperar,
2018-05-28,Palos de Escoba,0,Otros,Recuperar,
2018-05-28,Aluminio,49,Metales,Recuperar,
2018-05-28,Periódico,484,Papeles y Cartones,Recuperar,
2018-05-28,Plega,81,Papeles y Cartones,Recuperar,
2018-05-28,Plega,298,Plásticos,Recuperar,
2018-05-28,Plega,180,Papeles y Cartones,Recuperar,
2018-05-28,Vidrio,629,Vidrios,Recuperar,
2018-05-28,Archivo,873,Papeles y Cartones,Recuperar,
2018-05-28,Chatarra,163,Metales,Recuperar,
2018-06-28,Cartón,791,Papeles y Cartones,Recuperar,
2018-06-28,Vidrio,327,Vidrios,Recuperar,
2018-06-28,Periódico,232,Papeles y Cartones,Recuperar,
2018-06-28,Plega,148,Plásticos,Recuperar,
2018-06-28,Palos de Escoba,33,Otros,Recuperar,
2018-06-28,Aluminio,14,Metales,Recuperar,
2018-06-28,Pasta,549,Plásticos,Recuperar,
2018-06-28,Chatarra,1488,Metales,Recuperar,
2018-06-28,Archivo,1415,Papeles y Cartones,Recuperar,
2018-06-28,Plega,61,Papeles y Cartones,Recuperar,
2018-06-28,Plástico,147,Plásticos,Recuperar,
2018-06-28,Plega,177,Papeles y Cartones,Recuperar,
2018-07-28,Vidrio,909,Vidrios,Recuperar,
2018-07-28,Plástico,197,Plásticos,Recuperar,
2018-07-28,Periódico,333,Papeles y Cartones,Recuperar,
2018-07-28,Plega,133,Plásticos,Recuperar,
2018-07-28,Cartón,1043,Papeles y Cartones,Recuperar,
2018-07-28,Pasta,636,Plásticos,Recuperar,
